week_start,run_miles,xt_minutes,hard_days,symptoms,notes
2026-06-15,0,900,0,sore,"injured - calf/posterior knee then adductor. bike + aqua jog ~2.5h/day. dates approximate"
2026-06-22,0,900,0,sore,"pure cross-training block"
2026-06-29,0,900,0,sore,"pure cross-training block"
2026-07-06,0,900,0,clean,"pure cross-training block - symptoms settled"
2026-07-13,0,900,0,clean,"pure cross-training block"
2026-07-20,0,900,0,clean,"last full XT week before running rebuild"
2026-07-27,45,180,2,clean,"rebuild - held ~45 mpw"
2026-08-03,45,180,2,clean,"rebuild"
2026-08-10,45,150,2,clean,"5 x 1200 hilly trail - crushed it"
2026-08-17,45,150,2,clean,"season opener 16:59"
2026-08-24,45,150,2,clean,"ladder: 1.5mi 5:05 / 1mi 4:59 / 800 2:20 / 400 59 / 200 26"
